week_number,week_commencing,channel_name,store_id,style_code,description,season,category,colour,size,EAN,sales_units,sales_value,retail_price,cost,returns_units,returns_value,gross_sales_units,gross_sales_value,stock_units,brand,gender,replenishment_units,on_order_units
1,2025-01-06,Very,VRY-001,URB-M-1013,Red Bottom,SS25,Bottoms,Pink,XS,5000000101300,1,65.99,65.99,25.58,0,0.0,1,65.99,38,UrbanEdge,Men,35,14
1,2025-01-06,Zalando,ZAL-001,URB-M-1013,Red Bottom,SS25,Bottoms,Pink,XXL,5000000101300,6,395.94,65.99,25.58,1,65.99,7,461.93,173,UrbanEdge,Men,48,37
1,2025-01-06,eBay UK,EBY-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,L,5000000101400,4,184.6,46.15,15.39,0,0.0,4,184.6,149,UrbanEdge,Men,21,63
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,XL,5000000101400,8,369.2,46.15,15.39,1,46.15,9,415.35,43,UrbanEdge,Men,48,69
1,2025-01-06,Next,NXT-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,M,5000000101400,2,92.3,46.15,15.39,0,0.0,2,92.3,52,UrbanEdge,Men,29,17
1,2025-01-06,JD Sports,JDS-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,XXL,5000000101400,4,184.6,46.15,15.39,0,0.0,4,184.6,65,UrbanEdge,Men,8,0
1,2025-01-06,ASOS,ASO-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,XS,5000000101400,4,184.6,46.15,15.39,0,0.0,4,184.6,84,UrbanEdge,Men,49,96
1,2025-01-06,Very,VRY-001,URB-M-1014,Grey Bottom,SS25,Bottoms,Red,XXL,5000000101400,2,92.3,46.15,15.39,0,0.0,2,92.3,70,UrbanEdge,Men,40,61
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1015,White Bottom,SS26,Bottoms,White,XXL,5000000101500,9,773.1,85.9,30.54,0,0.0,9,773.1,70,UrbanEdge,Men,31,96
1,2025-01-06,Zalando,ZAL-001,URB-M-1015,White Bottom,SS26,Bottoms,White,S,5000000101500,7,601.3,85.9,30.54,0,0.0,7,601.3,148,UrbanEdge,Men,16,1
1,2025-01-06,ASOS,ASO-001,URB-M-1015,White Bottom,SS26,Bottoms,White,XS,5000000101500,1,85.9,85.9,30.54,0,0.0,1,85.9,22,UrbanEdge,Men,12,10
1,2025-01-06,Next,NXT-001,URB-M-1015,White Bottom,SS26,Bottoms,White,L,5000000101500,2,171.8,85.9,30.54,0,0.0,2,171.8,93,UrbanEdge,Men,20,16
1,2025-01-06,Very,VRY-001,URB-M-1015,White Bottom,SS26,Bottoms,White,L,5000000101500,6,515.4,85.9,30.54,0,0.0,6,515.4,81,UrbanEdge,Men,27,10
1,2025-01-06,JD Sports,JDS-001,URB-M-1015,White Bottom,SS26,Bottoms,White,L,5000000101500,15,1288.5,85.9,30.54,2,171.8,17,1460.3,119,UrbanEdge,Men,37,22
1,2025-01-06,eBay UK,EBY-001,URB-M-1015,White Bottom,SS26,Bottoms,White,XS,5000000101500,0,0.0,85.9,30.54,0,0.0,0,0.0,170,UrbanEdge,Men,14,31
1,2025-01-06,Next,NXT-001,URB-W-1016,Olive Dresse,SS25,Dresses,Camel,M,5000000101600,11,622.16,56.56,21.6,0,0.0,11,622.16,24,UrbanEdge,Women,47,97
1,2025-01-06,ASOS,ASO-001,URB-W-1016,Olive Dresse,SS25,Dresses,Camel,XXL,5000000101600,5,282.8,56.56,21.6,0,0.0,5,282.8,126,UrbanEdge,Women,24,3
1,2025-01-06,Zalando,ZAL-001,URB-W-1016,Olive Dresse,SS25,Dresses,Camel,S,5000000101600,3,169.68,56.56,21.6,0,0.0,3,169.68,179,UrbanEdge,Women,7,10
1,2025-01-06,Zalando,ZAL-001,URB-W-1017,Olive Dresse,AW25,Dresses,Navy,XL,5000000101700,3,183.03,61.01,21.73,0,0.0,3,183.03,66,UrbanEdge,Women,4,39
1,2025-01-06,Very,VRY-001,URB-W-1017,Olive Dresse,AW25,Dresses,Navy,M,5000000101700,2,122.02,61.01,21.73,0,0.0,2,122.02,39,UrbanEdge,Women,18,42
1,2025-01-06,eBay UK,EBY-001,URB-W-1017,Olive Dresse,AW25,Dresses,Navy,S,5000000101700,3,183.03,61.01,21.73,0,0.0,3,183.03,128,UrbanEdge,Women,24,9
1,2025-01-06,Next,NXT-001,URB-W-1017,Olive Dresse,AW25,Dresses,Navy,M,5000000101700,1,61.01,61.01,21.73,0,0.0,1,61.01,65,UrbanEdge,Women,4,84
1,2025-01-06,Zalando,ZAL-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,M,5000000101800,3,271.05,90.35,37.16,0,0.0,3,271.05,178,UrbanEdge,Women,18,44
1,2025-01-06,JD Sports,JDS-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,S,5000000101800,4,361.4,90.35,37.16,0,0.0,4,361.4,60,UrbanEdge,Women,41,56
1,2025-01-06,Next,NXT-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,XL,5000000101800,6,542.1,90.35,37.16,0,0.0,6,542.1,136,UrbanEdge,Women,4,34
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,L,5000000101800,0,0.0,90.35,37.16,0,0.0,0,0.0,153,UrbanEdge,Women,11,6
1,2025-01-06,eBay UK,EBY-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,L,5000000101800,0,0.0,90.35,37.16,0,0.0,0,0.0,89,UrbanEdge,Women,26,86
1,2025-01-06,ASOS,ASO-001,URB-W-1018,Camel Dresse,SS26,Dresses,Red,XXL,5000000101800,4,361.4,90.35,37.16,0,0.0,4,361.4,54,UrbanEdge,Women,14,39
1,2025-01-06,eBay UK,EBY-001,URB-W-1019,Blue Dresse,SS26,Dresses,Pink,L,5000000101900,13,960.7,73.9,29.84,2,147.8,15,1108.5,138,UrbanEdge,Women,31,12
1,2025-01-06,JD Sports,JDS-001,URB-W-1019,Blue Dresse,SS26,Dresses,Pink,S,5000000101900,8,591.2,73.9,29.84,0,0.0,8,591.2,197,UrbanEdge,Women,48,80
1,2025-01-06,Very,VRY-001,URB-W-1019,Blue Dresse,SS26,Dresses,Pink,XXL,5000000101900,1,73.9,73.9,29.84,0,0.0,1,73.9,24,UrbanEdge,Women,34,20
1,2025-01-06,JD Sports,JDS-001,URB-M-1020,Red Dresse,SS26,Dresses,Red,L,5000000102000,1,85.03,85.03,32.18,0,0.0,1,85.03,183,UrbanEdge,Men,3,38
1,2025-01-06,eBay UK,EBY-001,URB-M-1020,Red Dresse,SS26,Dresses,Red,XS,5000000102000,6,510.18,85.03,32.18,0,0.0,6,510.18,172,UrbanEdge,Men,25,91
1,2025-01-06,Next,NXT-001,URB-M-1020,Red Dresse,SS26,Dresses,Red,L,5000000102000,4,340.12,85.03,32.18,0,0.0,4,340.12,128,UrbanEdge,Men,26,41
1,2025-01-06,Very,VRY-001,URB-M-1020,Red Dresse,SS26,Dresses,Red,XS,5000000102000,1,85.03,85.03,32.18,0,0.0,1,85.03,117,UrbanEdge,Men,29,96
1,2025-01-06,eBay UK,EBY-001,URB-M-1021,Pink Dresse,SS26,Dresses,Red,XXL,5000000102100,0,0.0,43.01,17.24,0,0.0,0,0.0,177,UrbanEdge,Men,43,26
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1021,Pink Dresse,SS26,Dresses,Red,S,5000000102100,1,43.01,43.01,17.24,0,0.0,1,43.01,125,UrbanEdge,Men,1,27
1,2025-01-06,Next,NXT-001,URB-M-1021,Pink Dresse,SS26,Dresses,Red,M,5000000102100,1,43.01,43.01,17.24,0,0.0,1,43.01,139,UrbanEdge,Men,20,39
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1022,White Dresse,AW25,Dresses,Olive,M,5000000102200,3,247.08,82.36,26.74,0,0.0,3,247.08,13,UrbanEdge,Men,40,30
1,2025-01-06,Very,VRY-001,URB-M-1022,White Dresse,AW25,Dresses,Olive,S,5000000102200,6,494.16,82.36,26.74,1,82.36,7,576.52,173,UrbanEdge,Men,34,97
1,2025-01-06,Zalando,ZAL-001,URB-M-1022,White Dresse,AW25,Dresses,Olive,M,5000000102200,3,247.08,82.36,26.74,0,0.0,3,247.08,195,UrbanEdge,Men,22,82
1,2025-01-06,Next,NXT-001,URB-M-1022,White Dresse,AW25,Dresses,Olive,L,5000000102200,12,988.32,82.36,26.74,2,164.72,14,1153.04,124,UrbanEdge,Men,4,44
1,2025-01-06,JD Sports,JDS-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,XL,5000000102300,7,828.38,118.34,44.07,0,0.0,7,828.38,144,UrbanEdge,Men,20,78
1,2025-01-06,eBay UK,EBY-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,XS,5000000102300,4,473.36,118.34,44.07,0,0.0,4,473.36,15,UrbanEdge,Men,9,83
1,2025-01-06,Next,NXT-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,M,5000000102300,8,946.72,118.34,44.07,0,0.0,8,946.72,96,UrbanEdge,Men,45,70
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,XXL,5000000102300,9,1065.06,118.34,44.07,0,0.0,9,1065.06,98,UrbanEdge,Men,19,92
1,2025-01-06,Very,VRY-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,L,5000000102300,4,473.36,118.34,44.07,0,0.0,4,473.36,80,UrbanEdge,Men,29,17
1,2025-01-06,Zalando,ZAL-001,URB-M-1023,Olive Dresse,AW25,Dresses,Beige,XXL,5000000102300,7,828.38,118.34,44.07,1,118.34,8,946.72,76,UrbanEdge,Men,8,89
1,2025-01-06,Next,NXT-001,URB-W-1024,White Outerwear,SS26,Outerwear,Camel,S,5000000102400,1,68.25,68.25,27.82,0,0.0,1,68.25,172,UrbanEdge,Women,38,21
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1024,White Outerwear,SS26,Outerwear,Camel,XS,5000000102400,3,204.75,68.25,27.82,0,0.0,3,204.75,138,UrbanEdge,Women,13,40
1,2025-01-06,Zalando,ZAL-001,URB-W-1024,White Outerwear,SS26,Outerwear,Camel,S,5000000102400,22,1501.5,68.25,27.82,4,273.0,26,1774.5,193,UrbanEdge,Women,34,47
1,2025-01-06,eBay UK,EBY-001,URB-W-1025,Black Outerwear,AW25,Outerwear,Camel,M,5000000102500,7,259.49,37.07,13.86,1,37.07,8,296.56,189,UrbanEdge,Women,35,70
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1025,Black Outerwear,AW25,Outerwear,Camel,L,5000000102500,3,111.21,37.07,13.86,0,0.0,3,111.21,81,UrbanEdge,Women,17,25
1,2025-01-06,ASOS,ASO-001,URB-W-1025,Black Outerwear,AW25,Outerwear,Camel,XS,5000000102500,0,0.0,37.07,13.86,0,0.0,0,0.0,108,UrbanEdge,Women,31,58
1,2025-01-06,Next,NXT-001,URB-W-1025,Black Outerwear,AW25,Outerwear,Camel,XXL,5000000102500,4,148.28,37.07,13.86,0,0.0,4,148.28,135,UrbanEdge,Women,42,37
1,2025-01-06,eBay UK,EBY-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,XXL,5000000102600,2,201.86,100.93,38.92,0,0.0,2,201.86,131,UrbanEdge,Women,43,26
1,2025-01-06,Next,NXT-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,S,5000000102600,9,908.37,100.93,38.92,1,100.93,10,1009.3,133,UrbanEdge,Women,9,51
1,2025-01-06,Very,VRY-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,XXL,5000000102600,4,403.72,100.93,38.92,0,0.0,4,403.72,163,UrbanEdge,Women,40,60
1,2025-01-06,Amazon UK,AMZ-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,M,5000000102600,0,0.0,100.93,38.92,0,0.0,0,0.0,36,UrbanEdge,Women,1,49
1,2025-01-06,ASOS,ASO-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,XXL,5000000102600,2,201.86,100.93,38.92,0,0.0,2,201.86,89,UrbanEdge,Women,19,3
1,2025-01-06,Zalando,ZAL-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,XXL,5000000102600,2,201.86,100.93,38.92,0,0.0,2,201.86,165,UrbanEdge,Women,17,71
1,2025-01-06,JD Sports,JDS-001,URB-W-1026,Beige Outerwear,AW25,Outerwear,White,XL,5000000102600,20,2018.6,100.93,38.92,2,201.86,22,2220.46,159,UrbanEdge,Women,45,67
1,2025-01-06,JD Sports,JDS-001,URB-W-1027,Pink Outerwear,AW25,Outerwear,Pink,S,5000000102700,1,40.62,40.62,16.58,0,0.0,1,40.62,34,UrbanEdge,Women,12,80
1,2025-01-06,ASOS,ASO-001,URB-W-1027,Pink Outerwear,AW25,Outerwear,Pink,S,5000000102700,3,121.86,40.62,16.58,0,0.0,3,121.86,180,UrbanEdge,Women,32,22
1,2025-01-06,eBay UK,EBY-001,URB-W-1027,Pink Outerwear,AW25,Outerwear,Pink,M,5000000102700,1,40.62,40.62,16.58,0,0.0,1,40.62,68,UrbanEdge,Women,39,33
1,2025-01-06,Very,VRY-001,URB-W-1027,Pink Outerwear,AW25,Outerwear,Pink,XXL,5000000102700,2,81.24,40.62,16.58,0,0.0,2,81.24,98,UrbanEdge,Women,5,5
1,2025-01-06,Zalando,ZAL-001,URB-W-1027,Pink Outerwear,AW25,Outerwear,Pink,XL,5000000102700,0,0.0,40.62,16.58,0,0.0,0,0.0,189,UrbanEdge,Women,3,88
1,2025-01-06,JD Sports,JDS-001,URB-M-1028,Grey Outerwear,SS26,Outerwear,Blue,S,5000000102800,3,356.19,118.73,36.62,0,0.0,3,356.19,88,UrbanEdge,Men,43,15
1,2025-01-06,Very,VRY-001,URB-M-1028,Grey Outerwear,SS26,Outerwear,Blue,S,5000000102800,5,593.65,118.73,36.62,0,0.0,5,593.65,197,UrbanEdge,Men,44,98
1,2025-01-06,Zalando,ZAL-001,URB-M-1028,Grey Outerwear,SS26,Outerwear,Blue,XXL,5000000102800,1,118.73,118.73,36.62,0,0.0,1,118.73,145,UrbanEdge,Men,38,48
1,2025-01-06,Next,NXT-001,URB-M-1029,Red Outerwear,SS26,Outerwear,Camel,S,5000000102900,10,954.1,95.41,29.26,1,95.41,11,1049.51,49,UrbanEdge,Men,38,57
1,2025-01-06,Very,VRY-001,URB-M-1029,Red Outerwear,SS26,Outerwear,Camel,XXL,5000000102900,9,858.69,95.41,29.26,1,95.41,10,954.1,155,UrbanEdge,Men,4,61
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1029,Red Outerwear,SS26,Outerwear,Camel,XL,5000000102900,0,0.0,95.41,29.26,0,0.0,0,0.0,91,UrbanEdge,Men,23,0
1,2025-01-06,eBay UK,EBY-001,URB-M-1029,Red Outerwear,SS26,Outerwear,Camel,XL,5000000102900,10,954.1,95.41,29.26,0,0.0,10,954.1,80,UrbanEdge,Men,0,32
1,2025-01-06,Amazon UK,AMZ-001,URB-M-1030,Navy Outerwear,SS26,Outerwear,Red,XL,5000000103000,3,65.22,21.74,8.41,0,0.0,3,65.22,176,UrbanEdge,Men,15,10
1,2025-01-06,Very,VRY-001,URB-M-1030,Navy Outerwear,SS26,Outerwear,Red,M,5000000103000,2,43.48,21.74,8.41,0,0.0,2,43.48,41,UrbanEdge,Men,41,29
